Basis_Set,H2O_Energy_Hartree,Reaction_Energy_eV,H2O_Convergence_eV,Reaction_Convergence_eV,Reference_Basis
STO-3G,-74.96270660885386,1.579113063957374,30.05419342462321,-3.2276693965616445,cc-pV5Z
3-21G,-75.58537790808646,4.280121687143894,13.110444196913955,-0.5266607733751245,cc-pV5Z
6-31G,-75.98407765332502,4.602015584355656,2.261271433050499,-0.20476687616336253,cc-pV5Z
cc-pVDZ,-76.02684408743093,4.587762504572323,1.0975374762308736,-0.21901995594669543,cc-pV5Z
cc-pVTZ,-76.05724852038225,4.721099597463318,0.2701907076024051,-0.08568286305570094,cc-pV5Z
cc-pVQZ,-76.06492135219261,4.778712610483322,0.06140231760998907,-0.028069850035696398,cc-pV5Z
cc-pV5Z,-76.0671778457448,4.806782460519019,0.0,0.0,cc-pV5Z
