Molecule,Property,Experimental,Calculated,Error,Percent_Error,Units
H2,Bond_Length,0.741,0.7122339802276151,-0.02876601977238491,3.8820539503893268,Angstrom
O2,Bond_Length,1.208,1.2171826027367576,0.009182602736757639,0.7601492331753013,Angstrom
H2O,OH_Bond_Length,0.958,0.9893950265382463,0.03139502653824633,3.27714264491089,Angstrom
H2O,HOH_Angle,104.5,100.02626360523564,-4.473736394764359,4.28108745910465,Degrees
