Molecule,Electronic_Hartree,Electronic_eV,ZPE_Hartree,ZPE_eV,Thermal_H_Hartree,Thermal_H_eV,Entropy_Hartree,Entropy_eV,Total_G_Hartree,Total_G_eV,NIST_Entropy_J_mol_K
H2,-1.1550916256898835,-31.431644376153614,0.009875546000720164,0.26872729661561845,0.0032254486211808317,0.08776892824754104,-0.014839931072943733,-0.403815096289711,-1.156830562140926,-31.47896324758016,130.68
O2,-149.976462717664,-4081.067454817374,0.001574477884252303,0.042843725844155404,0.0032254486211808317,0.08776892824754104,-0.023296920259232877,-0.6339414955159687,-149.9949597114178,-4081.5707836587985,205.152
H2O,-76.23070957487265,-2074.343282047595,0.021410030743855966,0.5825966161095425,0.003773647398693779,0.1026861769220243,-0.007943473971169377,-0.21615293836444205,-76.21346937070128,-2073.8741521929282,69.95
