molecule,property,value,experimental,error,percent_error
H2,H-H bond length,0.712233850759179,0.74168,0.029446149240821007,3.9701959390601074
O2,O-O bond length,1.2171837337240055,1.20752,0.00966373372400553,0.8002959556782107
H2O,O-H bond length 1,0.9894434085286566,0.9572,0.03224340852865659,3.368513218622711
H2O,O-H bond length 2,0.9894434085286501,0.9572,0.03224340852865004,3.368513218622027
H2O,H-O-H angle (deg),100.06902009284423,104.474,4.404979907155777,4.216340818917412
