molecule,scf_energy_hartree,scf_energy_ev,scf_energy_kj_mol
H2,-0.958493034420508,-26.08192393792773,-2516.5231148965654
O2,-147.09081946660035,-4002.5450655619766,-386186.89326268254
H2O,-74.47195848306956,-2026.4852084587803,-195526.10003845012
