basis_set,h2o_energy,reaction_energy
sto-3g,-74.47195848306956,-0.06388856930226439
3-21g,-75.21249949865167,0.012393641674321998
6-31g,-75.6069498888083,0.0011230637395840404
cc-pvdz,-75.62179380475928,-0.00046293505724293027
cc-pvtz,-75.64493464480812,-0.001823487984466965
cc-pvqz,-75.65167975102352,-0.003658143052888363
